artist,uri,followers,genres,popularity
Serge Gainsbourg,spotify:artist:01C9OoXDvCKkGcf735Tcfo,316454,"['chanson', 'french rock']",61
Staatskapelle Dresden,spotify:artist:3Vfvyx6OouTxYU3emXonW7,9299,"['classical', 'classical performance', 'orchestra']",51
Sonny Rollins,spotify:artist:1VEzN9lxvG6KPR3QQGsebR,212506,"['avant-garde jazz', 'bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'soul jazz']",54
The Supremes,spotify:artist:57bUPid8xztkieZfS7OlEV,1041096,"['adult standards', 'brill building pop', 'classic girl group', 'disco', 'folk rock', 'funk', 'motown', 'quiet storm', 'soul']",69
Johnny Burnette,spotify:artist:1neKWNZP74NEuvHZmvMS58,12992,"['rhythm and blues', 'rock-and-roll', 'rockabilly', 'surf music']",40
Steam,spotify:artist:4cRXBNKXZ5vfw2IidDobcZ,5583,['pop edm'],45
Vienna State Opera Orchestra,spotify:artist:5VFkAGIv1Pioeb6e2JfpOE,4910,['classical performance'],43
Bobby Hendricks,spotify:artist:23j9dIV7tltqbu7XAGwll9,323,[],16
Conway Twitty,spotify:artist:7gi3jmwpUpNWdswT8eEprF,438873,"['arkansas country', 'country', 'country rock']",63
The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,16119928,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",89
Elmer Bernstein,spotify:artist:7sXdMnZeR5MsLKToZKpR2c,14989,"['classic soundtrack', 'soundtrack', 'theme']",48
Stevie Wonder,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,4224992,"['adult standards', 'funk', 'motown', 'quiet storm', 'soul']",79
John Zacherle,spotify:artist:3QUZOEl7WwFC0Hfl9z4Mhk,756,['halloween'],12
Marinês E Sua Gente,spotify:artist:0KlNQBgk1RtKWfCPPKpgvr,4230,"['forro', 'forro tradicional']",24
Al Martino,spotify:artist:7egNqIGRldMzifHoh8pib6,59526,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",51
Ben E. King,spotify:artist:3plJVWt88EqjvtuB4ZDRV3,328187,"['adult standards', 'brill building pop', 'motown', 'rock-and-roll', 'soul', 'southern soul']",67
Piero Piccioni,spotify:artist:2WPn0emjr8XPmMOT0bBcPe,13632,"['classic soundtrack', 'lounge', 'vintage italian soundtrack']",47
Maurice Jarre,spotify:artist:6iyQYs37mRXLW04Z9NOnNT,13158,"['classic soundtrack', 'french soundtrack', 'soundtrack']",46
Krokodil,spotify:artist:2oNdyLX6qiVvNGbBNaON20,1759,['krautrock'],16
Javier Solís,spotify:artist:7jerD1mbWgyDukHAmCvdCj,782250,"['bolero', 'grupera', 'mariachi', 'ranchera']",65
The Contours,spotify:artist:2ugPdplEWBmyU6EcIzlcY1,72186,"['motown', 'northern soul', 'soul']",53
Johnny Tillotson,spotify:artist:36msvw9B10rxW90NSQ2794,41709,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'merseybeat', 'nashville sound', 'rock-and-roll', 'rockabilly']",49
Cilla Black,spotify:artist:3bCvHtuIXWXPbCMdSYudmZ,66767,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']",47
Charles Aznavour,spotify:artist:2hgP9Ap2tc10R5jrQaEpMT,550425,['chanson'],66
Piero Piccioni,spotify:artist:2WPn0emjr8XPmMOT0bBcPe,13632,"['classic soundtrack', 'lounge', 'vintage italian soundtrack']",47
The Olympics,spotify:artist:3KtW4xANJkgfEnFgMxaj8h,1788,"['doo-wop', 'rhythm and blues']",25
Jorge Ben Jor,spotify:artist:5JYtpnUKxAzXfHEYpOeeit,487629,"['bossa nova', 'mangue bit', 'mpb', 'pagode', 'samba', 'samba-rock']",65
Julio Gutierrez,spotify:artist:5YaKihcj4tZHLlw0uPpsaw,191,"['charanga', 'mambo']",7
The Kinks,spotify:artist:1SQRv42e4PjEYfPhS0Tk9E,1507237,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']",72
Jack Scott,spotify:artist:09XH5qagU5qcWhYXcQYsjX,176,[],46
Al Martino,spotify:artist:7egNqIGRldMzifHoh8pib6,59526,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",51
Jerry Goldsmith,spotify:artist:7t8q7ikEtcPNtoaKAm9Vu6,54028,"['classic soundtrack', 'scorecore', 'soundtrack', 'theme']",54
Michel Legrand,spotify:artist:1EtE0iSY6iFlN9L9c53ETy,30639,"['chanson', 'classic soundtrack', 'french jazz', 'french soundtrack']",50
Raimon,spotify:artist:3oZq4zhpZVJey6Vo5lRByX,34,[],34
David Lindup,spotify:artist:6ZdZ5KLXDClqCitUzR52TR,654,"['library music', 'spytrack']",20
Traditional,spotify:artist:1U5zgr455OGyIkLNXvDdrf,27045,['sleep'],64
The Lovin' Spoonful,spotify:artist:7CCn4PFRRRZF127jtCBAUe,258506,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'rock', 'rock-and-roll', 'roots rock', 'soft rock', 'traditional folk']",59
