chartmetric_artist_id,cpp_rank,spotify_popularity,spotify_followers,spotify_monthly_listeners,spotify_listeners_to_followers_ratio,facebook_likes,facebook_talks,youtube_channel_views,youtube_subscribers,wikipedia_views,soundcloud_followers
654556,32796.0,40,81458,46028.0,0.5650519286,752974.0,840.0,36611813.0,551000.0,179.0,4608.0
308581,48828.0,50,81459,94607.0,1.161406352,217446.0,14120.0,989462.0,,16.0,17.0
210886,7784.0,62,81469,1026713.0,12.60249911,73497.0,2360.0,3735468.0,23600.0,,60125.0
564845,45455.0,40,81477,113646.0,1.394823079,,,37.0,0.0,,
177407,6581.0,56,81479,993971.0,12.199106517999999,738221.0,438.0,,,2710.0,
506169,20508.0,50,81484,140583.0,1.725283491,189531.0,2656.0,79619313.0,1190000.0,94.0,5628.0
228565,26470.0,48,81485,83803.0,1.028446953,2275078.0,2656.0,31.0,2560.0,156.0,7972.0
116182,8683.0,58,81492,926851.0,11.373521327,51086.0,14.0,673844.0,4980.0,,151981.0
429392,7159.0,54,81495,300752.0,3.690434996,2620590.0,16.0,171979446.0,2400000.0,3929.0,
334513,13514.0,56,81501,638676.0,7.836419185,3888.0,9.0,,,,
311761,37632.0,38,81501,42729.0,0.5242757758,,,60227909.0,421000.0,414.0,66475.0
423,33857.0,46,81508,181841.0,2.230958924,67741.0,0.0,482686.0,1530.0,213.0,
1399252,14148.0,58,81518,573782.0,7.038715376,,,,,,
68831,61148.0,37,81524,39606.0,0.4858201266,,,29042788.0,91100.0,,
217723,33765.0,45,81541,176661.0,2.166529721,240670.0,675.0,11571271.0,54400.0,28.0,1339.0
21663,5707.0,60,81546,1419369.0,17.40574645,97479.0,96.0,1158062.0,5090.0,,157474.0
470247,29678.0,49,81589,146293.0,1.793048082,1172523.0,714.0,41495023.0,142000.0,295.0,
209601,84137.0,31,81599,28709.0,0.35183029200000004,45834.0,140.0,24613.0,58.0,,
2093,15972.0,48,81605,226616.0,2.776986704,99809.0,365.0,10654261.0,28600.0,573.0,7293.0
303195,11303.0,51,81608,462207.0,5.663746201,1416.0,5.0,,,7995.0,
7201,21493.0,46,81617,166178.0,2.036070917,613703.0,48431.0,186865218.0,380000.0,,
