cm_artist,artist_name,spotify_artist_id,itunes_artist_id,deezer_artist_id
3683894,"Rob Coppard, Johannes Bergmark, Philp Gibbs, Aaron Ximm, Philo Lenglet & Carmel Raz",2VZzpVS1ysmjBRxeSO0WCn,,
3683883,Concertgebouw,0CGHzCGWZzFA98e6y0YhUr,,
3683876,Vesiga,3kXMIFiO0kjC31myf2T1qR,,
3683825,AZADI.mp3,7eyb3wB75oKSJMHTYzXoJ8,,
3683818,Tommy Darsey,7oEf2HsFPhRVs1sg2vluxc,,
3683813,Kyakuwa,3MKfWixLmPCRuLHzG6OKPH,,
3683792,A.Reverberi,61lh4CG8F5BgJCD4T0HOtr,,
3683790,Larry French,60d6SkUQfVZnhBynUCZuAm,,
3683785,Glamorvs Fade,6H5gAEQKngJoufauGzDThi,,
3683783,DJ Geenius,2J4J2hAFKIuLY5RoWlCpdO,,
3683781,Raymond Luke Jr.,52lNpNJHgKO0jdrl3yFj3C,,
3683759,Pocketfull Of Soul,2w6CysPoe9CjZdPz1g350y,,
3683745,EKS_port,5b8sjBioape4YsBGQXajAF,,
3683723,Eric Nagel,3hAHtgmthxuebhCzgFCqki,,
3683715,Yvonne Lara,0fxheR3SIw0ype5h9e04HJ,,
3683714,Agrupacion Asi De Ron,1x7YI8BbUrASkXi4A3GVyn,,
3683678,Jerry Julián,2rZNnE7GkNLHv9Sl1iw5mY,,
3683661,Viiintidote,2qLafGma9EVzYUoLyaqoYM,,
3683659,Joong-Un Lee,6gWMtFkzhPmecV0plUPeUD,,
3683649,M. Bilal feat. Keerush,41nnECFZuYbpIHer4WvlNq,,
3683644,Key Processor,3bWtBHXnu8BhfVsCBTUDpW,,
3683643,Tany Welck,2A8roRCtkqF0PLItvX8w38,1500405093,
3683642,Åke,2URgLDFBPZabuAyPAPftC9,,
3683613,Jay Saccone,3BhyGkw094vFeLdBRJ3om7,,
3683606,Tiddie,4oi66k3Ula4Kd4D1apQuU0,1512674058,
3683604,12tomidnight,5hP5IaPO9jVvwSdYY4cN1Z,,
3683601,Agata Dowhań,2IjHzFHgluRp3oi6EGkKoK,,
3683599,Cam,2I5nzK6d0QupL7vz34ItHc,,
3683587,DAY,1FRHMiXywtnTjk5OlHsV4x,,
3683541,Breno Ferro,0wExcqdD2rZKVYCJRQWNHP,,
3683503,Xlez,3SbszJHrvyLYr3HaNJ0KMV,,
3683494,Unders,633ry36kFxojfzzyFrcWDb,,
3683487,DJ Drone,1YvRMR9VHQoApe5AhUgFcx,,
3683477,Nyrkki-Kyllikki,5Vptno5IcVmVtIKqb6jd7F,,
3683476,Nuarinage,0VbDymymg0DQ80550X1orr,,
3683473,Chikaum,3A63amvpPbChq5l36Jfv0A,,
3683464,Sarah Ruth Thomas,335nUePm4YzZJjA1I9NXgO,,
