,artist,track,chart,tracks_uri,albums_uris
120,Khalid,Free Spirit,billboard-200,spotify:track:2kAIpGWnlFLQh48iut6Zzq,spotify:album:6KT8x5oqZJl9CcnM66hddo
121,Trippie Redd,A Love Letter To You 4,billboard-200,spotify:track:07NMFSwppnky8JyIQIxAQZ,spotify:album:0tKX7BLXiiRgXUKYdJzjEz
122,Chris Stapleton,Traveller,billboard-200,spotify:track:178OI1A3qjROeFeh8lmNwW,spotify:album:7lxHnls3yQNl8B9bILmHj7
123,XXXTENTACION,?,billboard-200,spotify:track:0JP9xo3adEtGSdUEISiszL,spotify:album:2Ti79nwTsont5ZHfdxIzAm
124,Ariana Grande,"Thank U, Next",billboard-200,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,spotify:album:2fYhqwDWXjbpjaIJPEfKFw
125,Khalid,American Teen,billboard-200,spotify:track:312WNtMs3F28cUukaPY9bo,spotify:album:6kf46HbnYCZzP6rjvQHYzg
126,Chris Brown,Indigo,billboard-200,spotify:track:6ZOXF7nbzCpPVNlC0AG1rF,spotify:album:1BfLzaTFI5qKsAAk0Ae6aV
127,Maren Morris,GIRL,billboard-200,spotify:track:3y5B5ebFMzEEFqCPOesAXR,spotify:album:5QakU0QMcoxjjyCS1YW4G5
128,The Beatles,1,billboard-200,spotify:track:1kDkaFlmkdEZiVUogaP9OZ,spotify:album:3PRoXYsngSwjEQWR5PsHWR
129,Soundtrack,Moana,billboard-200,spotify:track:0nLFpqktdZydxeL5TWgDJy,spotify:album:2r6e6s9AuLL8j7rCIhu2wX
130,Selena Gomez,Rare,billboard-200,spotify:track:7HMmFQsKsljwTw8bS7lu19,spotify:album:3YPFaTR7WMi1Hd4NVKdCJx
131,Billy Joel,The Essential Billy Joel,billboard-200,spotify:track:38bDGWuyYdSdNfrFfbCiVS,spotify:album:7r36rel1M4gyBavfcJP6Yz
132,The Beatles,Abbey Road,billboard-200,spotify:track:1Visy1Ri7mczTe6ONKi0dp,spotify:album:3bMPu4ebYEyNSyJGbH24G7
133,K Camp,Kiss 5,billboard-200,spotify:track:0EtfADHgGy2SAATVBm53H2,spotify:album:4otqPwCvGygkaMF6S75h4I
134,Soundtrack,The Greatest Showman,billboard-200,spotify:track:1aR29nRNjZ5gLOhm2X93c7,spotify:album:2uar2NgzhVFPRQus0Zx4cq
135,Mustard,Perfect Ten,billboard-200,spotify:track:6GQ82BpN60dzztUWzYojc7,spotify:album:2WrNHOba5u6P9S9xEboaUy
136,Drake,Take Care,billboard-200,spotify:track:124NFj84ppZ5pAxTuVQYCQ,spotify:album:6X1x82kppWZmDzlXXK3y3q
137,Drake,Views,billboard-200,spotify:track:7MjSipTto9QljYzZnloXOn,spotify:album:40GMAhriYJRO1rsY4YdrZb
