,track,artist,art_genres,chart,tracks_uri,albums_uris,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1501,Cry Myself To Sleep,The Judds,"['country', 'country dawn', 'country rock']",greatest-country-songs,spotify:track:3tOAosF0Ykfbdl8HwQGqZZ,spotify:album:5bssaJTxjs8S0dpc9GzFDj,15,0.183,0.909,0.223,1.17e-05,11.0,0.0711,-15.509,0.0,0.0377,115.326,4.0,0.887
1502,Mind Your Own Business,Hank Williams Jr.,"['country', 'country road', 'country rock', 'outlaw country']",greatest-country-songs,spotify:track:4raGevWiW8i1gactXulebp,spotify:album:2mUqVFSr5l4W2Hpm8t3Gfm,47,0.0459,0.568,0.698,0.0,9.0,0.095,-4.733,1.0,0.0436,164.371,4.0,0.872
1503,Why Not Me,The Judds,"['country', 'country dawn', 'country rock']",greatest-country-songs,spotify:track:6BkK5Dsu1kTne7Cn6EyYex,spotify:album:7ddhrJqVCguGmLhvffzxkA,56,0.502,0.732,0.667,4.07e-06,10.0,0.0524,-9.278,1.0,0.0278,125.6,4.0,0.727
1504,You Look So Good In Love,George Strait,"['contemporary country', 'country', 'country road']",greatest-country-songs,spotify:track:0J3AaAp2XKLhfvNNYE6iie,spotify:album:4tNMkO2t6XfbA9BC8ZcgT2,52,0.49,0.651,0.214,3.68e-06,9.0,0.1,-17.123,1.0,0.0292,114.533,3.0,0.295
1505,High Cotton,Alabama,"['alabama indie', 'indie rock', 'modern blues rock', 'rock']",greatest-country-songs,spotify:track:2KEu2z1f7TakR3KY4jGLzl,spotify:album:1jafIRrPVaBkcwl3TC0C8T,56,0.423,0.661,0.581,0.0,5.0,0.11,-9.67,1.0,0.032,91.11,4.0,0.863
1506,Thinkin' Of A Rendezvous,Johnny Duncan,['classic country pop'],greatest-country-songs,spotify:track:4bZkWUNAkyQuB5WS7XdGMj,spotify:album:3BagFmNBhlXOOtCoaZ4iMk,43,0.23,0.674,0.552,0.0,9.0,0.274,-9.904,1.0,0.04,127.313,4.0,0.787
1507,This Is It,Jim Reeves,"['adult standards', 'nashville sound']",greatest-country-songs,spotify:track:5hXd2WtIKO74SubHzjkTHW,spotify:album:3ledIn54AFqn7qORaYBMWF,16,0.819,0.412,0.159,0.0743,2.0,0.0961,-18.374,1.0,0.0296,85.539,4.0,0.467
1508,Good Hearted Woman,Waylon ,[],greatest-country-songs,spotify:track:3CqLvQ9fPOLtLIKb7r5ti6,spotify:album:6LfMo33TDWL0KlwXu6JVJa,57,0.387,0.41,0.568,0.102,2.0,0.389,-11.673,1.0,0.0346,103.026,4.0,0.644
1509,Garth Brooks,Garth Brooks,"['country', 'oklahoma country']",greatest-country-albums,spotify:track:7AzcVq1aqw5woHHBUM7Sao,spotify:album:2x61BUydbqJJ1VR6arFolT,23,0.589,0.711,0.565,4.58e-05,4.0,0.116,-4.213,1.0,0.027,120.048,4.0,0.447
1510,Always & Forever,Randy Travis,"['country', 'country gospel', 'country road', 'country rock']",greatest-country-albums,spotify:track:52xEnypBQMY7ZHQsS6OF43,spotify:album:2pmdwyaWnXIu5LfF0pVYt4,1,0.0783,0.668,0.164,0.715,7.0,0.113,-15.262,1.0,0.0349,113.854,4.0,0.607
1511,Behind Closed Doors,Charlie Rich,"['arkansas country', 'country', 'country rock', 'nashville sound']",greatest-country-albums,spotify:track:6d7Jz2np6jtNaZv1DiWfJs,spotify:album:08pcOepE6bfonEfT07TUmL,55,0.961,0.492,0.329,0.199,2.0,0.0955,-11.788,1.0,0.0274,85.196,4.0,0.589
1512,Storms Of Life,Randy Travis,"['country', 'country gospel', 'country road', 'country rock']",greatest-country-albums,spotify:track:2tgUWUgaOdfifOyZaobRib,spotify:album:6rOVPyzQ5s7cUUyHHplESf,35,0.386,0.759,0.328,1.45e-05,2.0,0.067,-15.636,1.0,0.0343,118.761,4.0,0.707
1513,Feels So Right,Alabama,"['alabama indie', 'indie rock', 'modern blues rock', 'rock']",greatest-country-albums,spotify:track:3ZQ7bFBquNdzelPHbzwJd6,spotify:album:1jafIRrPVaBkcwl3TC0C8T,44,0.522,0.546,0.338,0.000436,10.0,0.0866,-13.361,1.0,0.0233,90.247,4.0,0.346
1514,Not A Moment Too Soon,Tim McGraw,"['contemporary country', 'country', 'country road']",greatest-country-albums,spotify:track:2UkIpSe2slw66MpmsP4Rdb,spotify:album:18eJ4H4smFp29lRMsLygUc,39,0.0385,0.707,0.363,1.41e-05,7.0,0.23,-14.798,1.0,0.0288,120.626,4.0,0.621
1515,Stardust,Willie Nelson,"['classic country pop', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']",greatest-country-albums,spotify:track:7iyd0aOJ2J54hENgLeGxCk,spotify:album:38uGoW7jS8jjJMvZA26sRq,46,0.881,0.549,0.267,0.0209,9.0,0.137,-12.382,0.0,0.0416,144.546,4.0,0.0993
1516,The Foundation,Zac Brown Band,"['contemporary country', 'country', 'country road', 'modern country rock']",greatest-country-albums,spotify:track:3R8XBHHIhlzJo65YFgp0Z2,spotify:album:5GP6INOrUkZJyXOqoTUlxZ,57,0.363,0.756,0.796,1.56e-06,1.0,0.0496,-5.047,1.0,0.039,92.008,4.0,0.817
1517,The Gambler,Kenny Rogers,"['adult standards', 'classic country pop', 'country', 'mellow gold', 'nashville sound', 'soft rock']",greatest-country-albums,spotify:track:5KqldkCunQ2rWxruMEtGh0,spotify:album:3XdvQjIMjdwxRivZrg1ziJ,74,0.342,0.671,0.501,0.0,4.0,0.194,-13.119,1.0,0.0594,87.04,4.0,0.86
