,artist,uri,followers,genres,popularity,spotify_id,chart
2423,Biz Markie,spotify:artist:22282KfMxDo2PMjnBc82I4,194329,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap']",54,22282KfMxDo2PMjnBc82I4,comedy-albums
2424,The Lonely Island,spotify:artist:1f5GqyOPo0CkotzzRwviBu,882499,"['comedy rap', 'comic']",66,1f5GqyOPo0CkotzzRwviBu,comedy-albums
2425,Ray Stevens,spotify:artist:7MpUvihmfilIxyN20kXwQj,41753,"['bubblegum pop', 'comic', 'novelty']",48,7MpUvihmfilIxyN20kXwQj,comedy-albums
2426,Cedarmont Kids,spotify:artist:0MCU2OpgnSB7rm5UPUMHgt,11687,"[""children's music"", 'vbs']",54,0MCU2OpgnSB7rm5UPUMHgt,kids-albums
2427,Roger St. Denis,spotify:artist:7JTG2v9qWDOkRuJEFH9PFM,74,[],0,7JTG2v9qWDOkRuJEFH9PFM,new-age-albums
2428,Steven Halpern,spotify:artist:2J3qGaj5UzHvu0fjlLgb8k,32173,"['healing', 'kirtan', 'meditation', 'new age', 'sleep']",60,2J3qGaj5UzHvu0fjlLgb8k,new-age-albums
2429,Deuter,spotify:artist:3AGvwnXbUo9LoAU2P5qYHB,59433,"['healing', 'kirtan', 'meditation', 'new age']",60,3AGvwnXbUo9LoAU2P5qYHB,new-age-albums
2430,Sean Paul,spotify:artist:3Isy6kedDrgPYoTS1dazA9,2998457,"['dance pop', 'dancehall', 'pop', 'pop rap']",83,3Isy6kedDrgPYoTS1dazA9,reggae-albums
2431,Stick Figure,spotify:artist:5SXEylV07TC57eanSxxg4R,269122,['reggae fusion'],69,5SXEylV07TC57eanSxxg4R,reggae-albums
2432,J Boog,spotify:artist:7oEWmZ9dKlAVxTgmjUbYr4,192371,"['jawaiian', 'kaneka', 'polynesian pop']",68,7oEWmZ9dKlAVxTgmjUbYr4,reggae-albums
2433,Rebelution,spotify:artist:2WjvvwAX0mdWwq3aFuUdtc,576120,['reggae rock'],69,2WjvvwAX0mdWwq3aFuUdtc,reggae-albums
2434,Those Pretty Wrongs,spotify:artist:3azero10EBz68YUn4mWz29,444,['memphis americana'],6,3azero10EBz68YUn4mWz29,tastemaker-albums
2435,Primus,spotify:artist:64mPnRMMeudAet0E62ypkx,633804,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'garage rock', 'hard rock', 'nu metal', 'post-grunge', 'rock']",62,64mPnRMMeudAet0E62ypkx,tastemaker-albums
2436,Widespread Panic,spotify:artist:54SHZF2YS3W87xuJKSvOVf,171342,"['jam band', 'roots rock', 'southern rock']",58,54SHZF2YS3W87xuJKSvOVf,tastemaker-albums
2437,Earl Sweatshirt,spotify:artist:3A5tHz1SfngyOZM2gItYKu,1170908,"['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']",71,3A5tHz1SfngyOZM2gItYKu,tastemaker-albums
