artist,uri,followers,genres,popularity,decade,is_recommended,billboard
Johnny Burnette,spotify:artist:1neKWNZP74NEuvHZmvMS58,12992,"['rhythm and blues', 'rock-and-roll', 'rockabilly', 'surf music']",40,1960.0,1,
Steam,spotify:artist:4cRXBNKXZ5vfw2IidDobcZ,5583,['pop edm'],45,1960.0,1,
Vienna State Opera Orchestra,spotify:artist:5VFkAGIv1Pioeb6e2JfpOE,4911,['classical performance'],43,1960.0,1,
Bobby Hendricks,spotify:artist:23j9dIV7tltqbu7XAGwll9,323,[],16,1960.0,1,
Conway Twitty,spotify:artist:7gi3jmwpUpNWdswT8eEprF,439424,"['arkansas country', 'country', 'country rock']",63,1960.0,0,
Elmer Bernstein,spotify:artist:7sXdMnZeR5MsLKToZKpR2c,14989,"['classic soundtrack', 'soundtrack', 'theme']",48,1960.0,1,
John Zacherle,spotify:artist:3QUZOEl7WwFC0Hfl9z4Mhk,756,['halloween'],12,1960.0,1,
Marinês E Sua Gente,spotify:artist:0KlNQBgk1RtKWfCPPKpgvr,4230,"['forro', 'forro tradicional']",24,1960.0,1,
Al Martino,spotify:artist:7egNqIGRldMzifHoh8pib6,59620,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",51,1960.0,1,
Piero Piccioni,spotify:artist:2WPn0emjr8XPmMOT0bBcPe,13632,"['classic soundtrack', 'lounge', 'vintage italian soundtrack']",47,1960.0,1,
Maurice Jarre,spotify:artist:6iyQYs37mRXLW04Z9NOnNT,13166,"['classic soundtrack', 'french soundtrack', 'soundtrack']",46,1960.0,1,
Krokodil,spotify:artist:2oNdyLX6qiVvNGbBNaON20,1760,['krautrock'],16,1960.0,1,
Javier Solís,spotify:artist:7jerD1mbWgyDukHAmCvdCj,783386,"['bolero', 'grupera', 'mariachi', 'ranchera']",65,1960.0,0,
The Contours,spotify:artist:2ugPdplEWBmyU6EcIzlcY1,72254,"['motown', 'northern soul', 'soul']",53,1960.0,1,
Johnny Tillotson,spotify:artist:36msvw9B10rxW90NSQ2794,41709,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'merseybeat', 'nashville sound', 'rock-and-roll', 'rockabilly']",49,1960.0,1,
Cilla Black,spotify:artist:3bCvHtuIXWXPbCMdSYudmZ,66842,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']",47,1960.0,1,
The Olympics,spotify:artist:3KtW4xANJkgfEnFgMxaj8h,1791,"['doo-wop', 'rhythm and blues']",25,1960.0,1,
